id,name,price,category,subcategory,description
22,Spicy Korean Fried Chicken,18,Main,Fried Chicken,"spicy korean fried chicken, sweet spicy bold flavor, crunchy and savory"
23,Honey Butter Fried Chicken,18.5,Main,Fried Chicken,"crispy fried chicken with honey butter sauce, sweet savory flavor, crunchy texture"
24,Garlic Soy Fried Chicken,19,Main,Fried Chicken,"crispy fried chicken with garlic soy sauce, savory umami flavor, crunchy texture"
25,Cheese Powder Fried Chicken,18,Main,Fried Chicken,"crispy fried chicken with cheese powder, savory cheesy flavor, crunchy texture"
,,,,,
26,Creamy Mushroom Soup,11.5,Soup,Soup,"creamy mushroom soup, warm and savory, mild comforting flavor"
27,Tomato Basil Soup,10.9,Soup,Soup,"tomato basil soup, warm slightly sour taste, light savory flavor"
28,Pumpkin Soup,13,Soup,Soup,"pumpkin soup, sweet creamy warm flavor, mild and comforting"
29,Chicken Corn Soup,12,Soup,Soup,"chicken corn soup, warm savory flavor, mild and comforting"
30,Seafood Chowder,14.5,Soup,Soup,"creamy seafood soup with rich flavor, warm savory taste"
,,,,,
31,Iced Lemon Tea,8,Drink,Fruit Tea,"iced lemon tea, refreshing citrus flavor, mildly sweet"
32,Peach Fruit Tea,9.5,Drink,Fruit Tea,"cold peach fruit tea, refreshing fruity drink, mildly sweet"
33,Passionfruit Green Tea,10,Drink,Fruit Tea,"cold passionfruit green tea, tangy refreshing flavor, lightly sweet"
34,Mango Fruit Tea,10.5,Drink,Fruit Tea,"cold mango fruit tea, sweet fruity flavor, refreshing drink"
35,Strawberry Fruit Tea,10,Drink,Fruit Tea,"cold strawberry fruit tea, refreshing fruity flavor, mildly sweet"
,,,,,
36,Classic Milk Tea,10.5,Drink,Milk Tea,"sweet creamy milk tea, rich flavor, cold drink"
37,Brown Sugar Milk Tea,11.5,Drink,Milk Tea,"brown sugar milk tea, very sweet creamy flavor, rich and smooth"
38,Matcha Milk Tea,12,Drink,Milk Tea,"matcha milk tea with earthy tea aroma, mildly sweet, creamy texture"
39,Thai Milk Tea,11,Drink,Milk Tea,"thai milk tea, rich creamy flavor, sweet cold drink"
40,Oolong Milk Tea,11.5,Drink,Milk Tea,"oolong milk tea with tea aroma, creamy smooth texture, mildly sweet"
,,,,,
41,Latte,11,Drink,Coffee,"hot latte coffee, creamy smooth flavor, mild bitterness"
42,Iced Americano,10.5,Drink,Coffee,"iced americano coffee, strong bitter flavor, refreshing cold drink"
43,Cappuccino,11.5,Drink,Coffee,"hot cappuccino with creamy foam, mildly bitter and aromatic flavor"
44,Mocha,12,Drink,Coffee,"hot mocha coffee with chocolate flavor, creamy smooth taste"
45,Caramel Macchiato,13,Drink,Coffee,"hot caramel macchiato coffee, sweet creamy flavor, mild bitterness"
,,,,,
46,Black Tea,9,Drink,Tea,"hot black tea, mildly bitter, aromatic light flavor"
47,Green Tea,9.5,Drink,Tea,"hot green tea, refreshing mild flavor, not sweet"
48,Earl Grey Tea,10,Drink,Tea,"hot earl grey tea, citrus aroma, mildly bitter refreshing taste"
49,Chamomile Tea,10,Drink,Tea,"hot chamomile tea, floral aroma, mild calming flavor"
50,Jasmine Green Tea,10.5,Drink,Tea,"hot jasmine green tea, floral refreshing aroma, not sweet"
,,,,,
51,Chocolate Lava Cake,12,Dessert,Dessert,"warm chocolate lava cake, sweet rich flavor, soft texture"
52,New York Cheesecake,11,Dessert,Dessert,"classic cheesecake, sweet creamy flavor, rich dessert"
53,Tiramisu,10.5,Dessert,Dessert,"tiramisu dessert with coffee aroma, creamy sweet flavor"
54,Vanilla Ice Cream,6.5,Dessert,Dessert,"cold vanilla ice cream, sweet creamy dessert, smooth texture"
55,Chocolate Brownie,9.5,Dessert,Dessert,"warm chocolate brownie, sweet rich flavor, soft chewy texture"
,,,,,
56,French Fries,7.5,Side,Side,"crispy salty french fries, fried savory snack, crunchy texture"
57,Garlic Bread,8,Side,Side,"toasted garlic bread with butter, savory mildly salty flavor"
58,Chicken Nuggets,9.5,Side,Side,"crispy chicken nuggets, savory fried snack, crunchy texture"
59,Herb Roasted Potato Wedges,8.5,Side,Side,"roasted potato wedges with herbs, savory mildly salty flavor"
60,Coleslaw,7,Side,Side,"cold coleslaw salad, creamy slightly sour taste, refreshing texture"
